Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2014 [YR2014],2017 [YR2017],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Netherlands,NLD,5.821,7.419,4.837,3.526,3.535,3.7
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Poland,POL,10.031,8.971,4.867,2.811,2.743,2.807
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Portugal,PRT,15.509,13.88,8.878,6.138,6.498,6.5
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Slovenia,SVN,8.841,9.668,6.564,4.011,3.652,3.7
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Slovak Republic,SVK,13.966,11.536,8.142,6.143,5.843,5.3
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Sweden,SWE,7.976,7.954,6.718,7.417,7.611,8.4
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,France,FRA,9.841,10.273,9.409,7.303,7.335,7.4
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Romania,ROU,6.794,6.802,4.927,5.614,5.589,5.4
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Spain,ESP,24.789,24.441,17.224,13.033,12.179,11.4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,
